rcept_no,corp_cls,corp_code,corp_name,se,shrholdr_co,shrholdr_tot_co,shrholdr_rate,hold_stock_co,stock_tot_co,hold_stock_rate,stlm_dt,fiscal_year,endpoint_label
20250326000026,Y,00447609,비에이치,소액주주,"32,057","32,064",99.98%,"20,043,194","34,464,379",58.16%,2024-12-31,2024,minority_shareholder
20240313000637,Y,01765256,동국씨엠,소액주주,"65,777","65,781",99.99%,"16,548,296","29,898,656",55.35%,2023-12-31,2023,minority_shareholder
20250317000943,Y,01765256,동국씨엠,소액주주,"54,632","54,637",99.99%,"16,237,856","29,898,656",54.31%,2024-12-31,2024,minority_shareholder
20240312000543,Y,01765265,동국제강,소액주주,"70,652","70,660",99.99%,"25,850,132","49,608,017",52.11%,2023-12-31,2023,minority_shareholder
20250317000722,Y,01765265,동국제강,소액주주,"63,528","63,565",99.94%,"24,096,889","49,608,017",48.57%,2024-12-31,2024,minority_shareholder
20240411004116,Y,01762569,이수스페셜티케미컬,소액주주,"53,811","53,822",99.98%,"3,752,840","5,598,773",67.03%,2023-12-31,2023,minority_shareholder
20250320001543,Y,01762569,이수스페셜티케미컬,소액주주,"52,509","52,518",99.98%,"19,229,705","29,938,465",64.23%,2024-12-31,2024,minority_shareholder
20240314000710,Y,01760738,OCI,소액주주,"49,513","49,540",99.95%,"3,487,232","7,436,729",46.89%,2023-12-31,2023,minority_shareholder
20250314001304,Y,01760738,OCI,소액주주,"44,035","44,060",99.95%,"3,784,393","8,952,495",42.27%,2024-12-31,2024,minority_shareholder
20190329001733,Y,00480367,SK오션플랜트,소액주주,"5,109",-,99.8%,"13,234,489",-,50.1%,2018-12-31,2018,minority_shareholder
20200330003171,Y,00480367,SK오션플랜트,소액주주,"4,931",-,99.89%,"15,468,699",-,55.51%,2019-12-31,2019,minority_shareholder
20210318000211,Y,00480367,SK오션플랜트,소액주주,"39,348","39,352",99.98%,"22,030,735","35,092,674",62.77%,2020-12-31,2020,minority_shareholder
20220323001382,Y,00480367,SK오션플랜트,소액주주,"24,509","24,516",99.97%,"20,404,507","36,574,368",55.79%,2021-12-31,2021,minority_shareholder
20230831000707,Y,00480367,SK오션플랜트,소액주주,"42,465","42,470",99.97%,"23,558,220","53,235,012",44.24%,2022-12-31,2022,minority_shareholder
20240320000346,Y,00480367,SK오션플랜트,소액주주,"38,631","38,660",99.92%,"21,806,581","59,195,568",36.84%,2023-12-31,2023,minority_shareholder
20250814001175,Y,00480367,SK오션플랜트,소액주주,"36,415","36,419",99.99%,"20,826,610","59,195,568",35.18%,2024-12-31,2024,minority_shareholder
20240318000716,Y,01721809,현대그린푸드,소액주주,-,-,-,-,-,-,2023-12-31,2023,minority_shareholder
20250314000805,Y,01721809,현대그린푸드,소액주주,-,-,-,-,-,-,2024-12-31,2024,minority_shareholder
20240318000820,Y,01722437,한화갤러리아,소액주주,"179,233","179,238",99.99%,"112,637,623","193,859,610",58.10%,2023-12-31,2023,minority_shareholder
20250317000838,Y,01722437,한화갤러리아,소액주주,"148,892","148,896",99.99%,"88,229,134","196,764,080",44.84%,2024-12-31,2024,minority_shareholder
20210331003006,Y,00622787,바이오노트,소액주주,62,77,80.52%,"156,060","5,847,253",2.67%,2020-12-31,2020,minority_shareholder
20220331002923,Y,00622787,바이오노트,소액주주,156,164,95.12%,"3,995,200","93,556,048",4.27%,2021-12-31,2021,minority_shareholder
20230321001282,Y,00622787,바이오노트,소액주주,"21,976","21,984",99.96%,"14,395,200","101,876,048",14.1%,2022-12-31,2022,minority_shareholder
20240322000144,Y,00622787,바이오노트,소액주주,"14,002","14,009",99.95%,"17,219,797","102,056,048",16.87%,2023-12-31,2023,minority_shareholder
20250318001275,Y,00622787,바이오노트,소액주주,"12,152","12,159",99.94%,"17,459,797","101,363,172",17.22%,2024-12-31,2024,minority_shareholder
20230322000303,Y,01702017,유니드비티플러스,소액주주,"15,479","15,493",99.91%,"5,180,960","10,611,215",48.83%,2022-12-31,2022,minority_shareholder
20240320000313,Y,01702017,유니드비티플러스,소액주주,"9,859","9,876",99.83%,"4,862,153","10,611,215",45.82%,2023-12-31,2023,minority_shareholder
