corp_code,stock_code,corp_name,market,sector,fiscal_year,n_annual_report_filings,has_annual_report_in_dart_universe
00447609,090460,비에이치,KOSPI,전자부품 제조업,2024,2.0,True
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2018,,False
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2019,,False
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2020,,False
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2021,,False
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2022,,False
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2023,1.0,True
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2024,1.0,True
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2018,,False
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2019,,False
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2020,,False
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2021,,False
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2022,,False
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2023,1.0,True
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2024,2.0,True
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2018,,False
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2019,,False
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2020,,False
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2021,,False
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2022,,False
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2023,2.0,True
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2024,1.0,True
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2018,,False
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2019,,False
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2020,,False
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2021,,False
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2022,,False
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2023,1.0,True
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2024,1.0,True
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2018,1.0,True
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2019,1.0,True
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2020,1.0,True
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2021,1.0,True
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2022,2.0,True
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2023,1.0,True
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2024,3.0,True
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2018,,False
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2019,,False
