corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,filing_year,query_bgn_de,query_end_de
01183407,이십일스토어,270020,E,사업보고서 (2018.12),20190329004043,이십일스토어,20190329,,2019,20190301,20190331
00203847,국일신동,060480,K,사업보고서 (2018.12),20190329004041,국일신동,20190329,,2019,20190301,20190331
00269241,주연테크,044380,Y,사업보고서 (2018.12),20190329004029,주연테크,20190329,연,2019,20190301,20190331
00129989,코스모신소재,005070,Y,사업보고서 (2018.12),20190329004028,코스모신소재,20190329,,2019,20190301,20190331
00105466,KCC건설,021320,K,사업보고서 (2018.12),20190329004024,KCC건설,20190329,정연,2019,20190301,20190331
00116426,이렘,009730,K,사업보고서 (2018.12),20190329004018,이렘,20190329,정연,2019,20190301,20190331
00113243,대한제분,001130,Y,[첨부정정]사업보고서 (2018.12),20190329004014,대한제분,20190329,연,2019,20190301,20190331
00349927,현대엔지니어링,,E,사업보고서 (2018.12),20190329004012,현대엔지니어링,20190329,연,2019,20190301,20190331
00171265,파라다이스,034230,Y,사업보고서 (2018.12),20190329004010,파라다이스,20190329,연,2019,20190301,20190331
00108001,남화토건,091590,K,사업보고서 (2018.12),20190329004006,남화토건,20190329,연,2019,20190301,20190331
00111999,대원제약,003220,Y,사업보고서 (2018.12),20190329004002,대원제약,20190329,연,2019,20190301,20190331
00105271,케이씨씨,002380,Y,사업보고서 (2018.12),20190329003997,케이씨씨,20190329,정연,2019,20190301,20190331
00755739,파인테크닉스,106240,K,사업보고서 (2018.12),20190329003985,파인테크닉스,20190329,정연,2019,20190301,20190331
00126362,삼성SDI,006400,Y,사업보고서 (2018.12),20190329003979,삼성SDI,20190329,연,2019,20190301,20190331
00136776,차AI헬스케어,025620,Y,사업보고서 (2018.12),20190329003977,차AI헬스케어,20190329,정연,2019,20190301,20190331
00828497,한미약품,128940,Y,사업보고서 (2018.12),20190329003969,한미약품,20190329,연,2019,20190301,20190331
00131692,서흥,008490,Y,사업보고서 (2018.12),20190329003967,서흥,20190329,연,2019,20190301,20190331
00809429,뉴온,123840,K,사업보고서 (2018.12),20190329003963,뉴온,20190329,연,2019,20190301,20190331
00187725,코콤,015710,K,사업보고서 (2018.12),20190329003962,코콤,20190329,연,2019,20190301,20190331
00161426,한미사이언스,008930,Y,사업보고서 (2018.12),20190329003955,한미사이언스,20190329,연,2019,20190301,20190331
00666204,제너셈,217190,K,사업보고서 (2018.12),20190329003954,제너셈,20190329,정,2019,20190301,20190331
00259934,예림당,036000,K,사업보고서 (2018.12),20190329003953,예림당,20190329,연,2019,20190301,20190331
