rcept_no,corp_cls,corp_code,corp_name,drctr_co,otcmp_drctr_co,apnt,rlsofc,mdstrm_resig,stlm_dt,fiscal_year,endpoint_label
20220316001334,Y,01319899,SK바이오사이언스,6,4,1,-,-,2021-12-31,2021,outside_director
20230317000869,Y,01319899,SK바이오사이언스,7,4,-,-,-,2022-12-31,2022,outside_director
20240315000914,Y,01319899,SK바이오사이언스,6,3,3,-,1,2023-12-31,2023,outside_director
20250317000856,Y,01319899,SK바이오사이언스,7,4,2,-,-,2024-12-31,2024,outside_director
20220321000964,Y,01532603,화승알앤에이,7,2,2,-,-,2021-12-31,2021,outside_director
20230321000920,Y,01532603,화승알앤에이,9,3,1,-,-,2022-12-31,2022,outside_director
20240320000953,Y,01532603,화승알앤에이,9,3,-,-,-,2023-12-31,2023,outside_director
20250321001314,Y,01532603,화승알앤에이,7,3,2,-,-,2024-12-31,2024,outside_director
20210916000175,Y,01510489,프레스티지바이오파마,8,5,-,-,-,2021-06-30,2021,outside_director
20220920000416,Y,01510489,프레스티지바이오파마,8,5,1,-,-,2022-06-30,2022,outside_director
20231129001041,Y,01510489,프레스티지바이오파마,8,5,4,-,-,2023-06-30,2023,outside_director
20240919000201,Y,01510489,프레스티지바이오파마,8,5,2,-,-,2024-06-30,2024,outside_director
20210421000598,Y,01159233,솔루엠,5,2,-,-,-,2020-12-31,2020,outside_director
20220321000896,Y,01159233,솔루엠,4,2,-,-,-,2021-12-31,2021,outside_director
20230320000954,Y,01159233,솔루엠,4,2,-,-,-,2022-12-31,2022,outside_director
20240319000321,Y,01159233,솔루엠,5,2,-,-,-,2023-12-31,2023,outside_director
20250813001277,Y,01159233,솔루엠,5,2,-,-,-,2024-12-31,2024,outside_director
20220316001326,Y,01524093,DL이앤씨,5,3,-,-,-,2021-12-31,2021,outside_director
20230315001420,Y,01524093,DL이앤씨,6,4,1,-,-,2022-12-31,2022,outside_director
20240328001465,Y,01524093,DL이앤씨,5,3,1,-,1,2023-12-31,2023,outside_director
20250814001988,Y,01524093,DL이앤씨,6,4,3,-,-,2024-12-31,2024,outside_director
20210319001395,Y,00173078,명신산업,4,2,-,-,-,2020-12-31,2020,outside_director
20220321001206,Y,00173078,명신산업,5,2,1,-,1,2021-12-31,2021,outside_director
20230321000892,Y,00173078,명신산업,6,2,-,-,-,2022-12-31,2022,outside_director
20240328000483,Y,00173078,명신산업,4,1,1,-,3,2023-12-31,2023,outside_director
20250318000402,Y,00173078,명신산업,4,1,-,-,-,2024-12-31,2024,outside_director
20210319000312,Y,00453284,교촌에프앤비,6,2,-,-,-,2020-12-31,2020,outside_director
20220322000301,Y,00453284,교촌에프앤비,5,2,-,-,-,2021-12-31,2021,outside_director
20230322001068,Y,00453284,교촌에프앤비,6,2,2,-,-,2022-12-31,2022,outside_director
20240320001336,Y,00453284,교촌에프앤비,6,2,-,-,-,2023-12-31,2023,outside_director
20250324000180,Y,00453284,교촌에프앤비,7,3,3,-,-,2024-12-31,2024,outside_director
20210322000890,Y,01204056,하이브,9,4,7,-,8,2020-12-31,2020,outside_director
20220322000653,Y,01204056,하이브,7,3,1,-,2,2021-12-31,2021,outside_director
20230403004275,Y,01204056,하이브,9,5,2,-,-,2022-12-31,2022,outside_director
20240322001002,Y,01204056,하이브,9,5,-,-,-,2023-12-31,2023,outside_director
20250321001187,Y,01204056,하이브,9,5,-,-,-,2024-12-31,2024,outside_director
20210316000773,Y,00878696,에스케이바이오팜,5,3,-,-,-,2020-12-31,2020,outside_director
20220316000396,Y,00878696,에스케이바이오팜,5,3,-,-,-,2021-12-31,2021,outside_director
20230320000326,Y,00878696,에스케이바이오팜,5,3,-,-,-,2022-12-31,2022,outside_director
20240318000296,Y,00878696,에스케이바이오팜,5,3,1,-,1,2023-12-31,2023,outside_director
20250318001091,Y,00878696,에스케이바이오팜,7,4,1,-,-,2024-12-31,2024,outside_director
20210317001256,Y,01478712,대덕전자,3,1,1,-,-,2020-12-31,2020,outside_director
20220316001352,Y,01478712,대덕전자,3,1,-,-,-,2021-12-31,2021,outside_director
20230314001258,Y,01478712,대덕전자,3,1,-,-,-,2022-12-31,2022,outside_director
20240320001649,Y,01478712,대덕전자,2,1,1,-,-,2023-12-31,2023,outside_director
20250319000892,Y,01478712,대덕전자,3,1,-,-,-,2024-12-31,2024,outside_director
20210318000956,Y,01428203,케이씨씨글라스,5,3,-,-,-,2020-12-31,2020,outside_director
20220713000282,Y,01428203,케이씨씨글라스,5,3,-,-,-,2021-12-31,2021,outside_director
20230316001277,Y,01428203,케이씨씨글라스,5,3,-,-,-,2022-12-31,2022,outside_director
20240328001643,Y,01428203,케이씨씨글라스,4,3,1,-,1,2023-12-31,2023,outside_director
20250320001046,Y,01428203,케이씨씨글라스,5,3,2,-,-,2024-12-31,2024,outside_director
20210319000378,Y,00450010,씨티알모빌리티,7,3,-,-,-,2020-12-31,2020,outside_director
20220412002470,Y,00450010,씨티알모빌리티,7,3,2,-,-,2021-12-31,2021,outside_director
20230710000268,Y,00450010,씨티알모빌리티,7,3,1,-,-,2022-12-31,2022,outside_director
20240319000210,Y,00450010,씨티알모빌리티,7,3,-,-,-,2023-12-31,2023,outside_director
20250319000632,Y,00450010,씨티알모빌리티,6,2,1,-,-,2024-12-31,2024,outside_director
20210315000540,Y,01199550,HD현대에너지솔루션,5,3,-,-,-,2020-12-31,2020,outside_director
20220318001065,Y,01199550,HD현대에너지솔루션,5,3,-,-,-,2021-12-31,2021,outside_director
20230317000301,Y,01199550,HD현대에너지솔루션,5,3,3,-,3,2022-12-31,2022,outside_director
20240318000436,Y,01199550,HD현대에너지솔루션,5,3,-,-,-,2023-12-31,2023,outside_director
20250317000724,Y,01199550,HD현대에너지솔루션,5,3,1,-,-,2024-12-31,2024,outside_director
20210511000265,Y,00339391,한화시스템,7,4,-,-,-,2020-12-31,2020,outside_director
20220516000217,Y,00339391,한화시스템,7,4,4,-,-,2021-12-31,2021,outside_director
20230411001656,Y,00339391,한화시스템,8,5,1,-,-,2022-12-31,2022,outside_director
20240516000399,Y,00339391,한화시스템,5,3,2,-,-,2023-12-31,2023,outside_director
20250314001773,Y,00339391,한화시스템,5,3,1,-,-,2024-12-31,2024,outside_director
20210317000332,Y,00150633,지누스,6,3,-,-,-,2020-12-31,2020,outside_director
20260206000227,Y,00150633,지누스,7,3,-,-,-,2021-12-31,2021,outside_director
20260206000232,Y,00150633,지누스,10,3,3,0,3,2022-12-31,2022,outside_director
20260206000242,Y,00150633,지누스,10,3,-,-,-,2023-12-31,2023,outside_director
20260206000326,Y,00150633,지누스,6,3,-,-,4,2024-12-31,2024,outside_director
20210319001290,Y,01412725,두산퓨얼셀,5,3,-,-,-,2020-12-31,2020,outside_director
20220321001227,Y,01412725,두산퓨얼셀,6,4,1,-,-,2021-12-31,2021,outside_director
20230321001259,Y,01412725,두산퓨얼셀,5,3,2,-,-,2022-12-31,2022,outside_director
20240318000856,Y,01412725,두산퓨얼셀,5,3,-,-,-,2023-12-31,2023,outside_director
20250318001214,Y,01412725,두산퓨얼셀,6,4,2,-,-,2024-12-31,2024,outside_director
20210318001410,Y,01412822,솔루스첨단소재,4,3,1,-,1,2020-12-31,2020,outside_director
20220812000796,Y,01412822,솔루스첨단소재,5,3,-,-,1,2021-12-31,2021,outside_director
20230322001089,Y,01412822,솔루스첨단소재,5,3,2,-,2,2022-12-31,2022,outside_director
20240320001614,Y,01412822,솔루스첨단소재,5,3,1,-,1,2023-12-31,2023,outside_director
20251121000498,Y,01412822,솔루스첨단소재,4,3,-,-,-,2024-12-31,2024,outside_director
20210317000814,Y,00203315,콘텐트리중앙,3,1,-,-,-,2020-12-31,2020,outside_director
20220323001342,Y,00203315,콘텐트리중앙,3,1,1,-,-,2021-12-31,2021,outside_director
20230321001329,Y,00203315,콘텐트리중앙,4,1,-,-,-,2022-12-31,2022,outside_director
20240320001970,Y,00203315,콘텐트리중앙,4,1,-,-,-,2023-12-31,2023,outside_director
20250320001749,Y,00203315,콘텐트리중앙,4,1,-,-,-,2024-12-31,2024,outside_director
20210512000747,Y,00155276,포스코퓨처엠,5,2,2,-,-,2020-12-31,2020,outside_director
20220311001089,Y,00155276,포스코퓨처엠,6,3,2,-,1,2021-12-31,2021,outside_director
20230317000751,Y,00155276,포스코퓨처엠,9,5,3,-,-,2022-12-31,2022,outside_director
20240326000383,Y,00155276,포스코퓨처엠,9,5,2,-,-,2023-12-31,2023,outside_director
20250314000603,Y,00155276,포스코퓨처엠,8,5,3,-,-,2024-12-31,2024,outside_director
20210318000547,Y,00362441,현대오토에버,7,3,1,-,-,2020-12-31,2020,outside_director
20220317001288,Y,00362441,현대오토에버,7,3,3,-,1,2021-12-31,2021,outside_director
20230317000639,Y,00362441,현대오토에버,7,4,1,-,-,2022-12-31,2022,outside_director
20240329000426,Y,00362441,현대오토에버,7,4,1,-,-,2023-12-31,2023,outside_director
20250317000930,Y,00362441,현대오토에버,5,3,2,-,1,2024-12-31,2024,outside_director
20210318000482,Y,00415646,드림텍,9,3,-,-,-,2020-12-31,2020,outside_director
20220812000858,Y,00415646,드림텍,8,3,-,-,-,2021-12-31,2021,outside_director
20230323001080,Y,00415646,드림텍,7,3,3,-,2,2022-12-31,2022,outside_director
20240321001811,Y,00415646,드림텍,7,3,-,-,-,2023-12-31,2023,outside_director
20250328002249,Y,00415646,드림텍,7,3,-,-,-,2024-12-31,2024,outside_director
20210316000867,Y,01010110,더블유게임즈,6,3,-,-,-,2020-12-31,2020,outside_director
20220321000798,Y,01010110,더블유게임즈,6,3,2,-,-,2021-12-31,2021,outside_director
20230320000648,Y,01010110,더블유게임즈,6,3,1,-,-,2022-12-31,2022,outside_director
20240320001599,Y,01010110,더블유게임즈,6,3,-,-,-,2023-12-31,2023,outside_director
20250318001413,Y,01010110,더블유게임즈,6,3,2,-,-,2024-12-31,2024,outside_director
20210323000858,Y,00651901,에어부산,7,2,-,-,1,2020-12-31,2020,outside_director
20220323001066,Y,00651901,에어부산,7,2,2,-,2,2021-12-31,2021,outside_director
20230831001169,Y,00651901,에어부산,7,2,-,-,-,2022-12-31,2022,outside_director
20240321001310,Y,00651901,에어부산,7,2,-,-,-,2023-12-31,2023,outside_director
20250317000731,Y,00651901,에어부산,7,2,2,-,2,2024-12-31,2024,outside_director
20210323000713,Y,00458234,아시아나IDT,5,3,1,-,1,2020-12-31,2020,outside_director
20220323001196,Y,00458234,아시아나IDT,5,3,2,-,2,2021-12-31,2021,outside_director
20230719000433,Y,00458234,아시아나IDT,5,3,-,-,-,2022-12-31,2022,outside_director
20240321001534,Y,00458234,아시아나IDT,5,3,1,-,-,2023-12-31,2023,outside_director
20250813001353,Y,00458234,아시아나IDT,5,3,2,-,-,2024-12-31,2024,outside_director
20210318000260,Y,01325979,세아제강,5,2,-,-,-,2020-12-31,2020,outside_director
20220314001229,Y,01325979,세아제강,5,2,1,0,0,2021-12-31,2021,outside_director
20230314001166,Y,01325979,세아제강,5,2,1,0,0,2022-12-31,2022,outside_director
20240306000569,Y,01325979,세아제강,5,2,0,0,0,2023-12-31,2023,outside_director
20250312000987,Y,01325979,세아제강,7,4,3,-,-,2024-12-31,2024,outside_director
20210319001318,Y,00248974,하나제약,6,2,2,0,0,2020-12-31,2020,outside_director
20220331002435,Y,00248974,하나제약,6,2,1,1,-,2021-12-31,2021,outside_director
20230712000281,Y,00248974,하나제약,6,2,-,-,-,2022-12-31,2022,outside_director
20240315000676,Y,00248974,하나제약,6,2,-,-,-,2023-12-31,2023,outside_director
20250314001348,Y,00248974,하나제약,6,2,-,-,-,2024-12-31,2024,outside_director
20210322000362,Y,00143262,우진아이엔에스,3,1,-,-,-,2020-12-31,2020,outside_director
20220812000678,Y,00143262,우진아이엔에스,4,2,2,-,-,2021-12-31,2021,outside_director
20230322000761,Y,00143262,우진아이엔에스,4,2,-,-,-,2022-12-31,2022,outside_director
20240321001452,Y,00143262,우진아이엔에스,4,2,-,-,-,2023-12-31,2023,outside_director
20250711000031,Y,00143262,우진아이엔에스,4,2,-,-,-,2024-12-31,2024,outside_director
20210317000869,Y,01319808,한일시멘트,4,1,1,-,-,2020-12-31,2020,outside_director
20220318000879,Y,01319808,한일시멘트,4,1,1,-,-,2021-12-31,2021,outside_director
20230317000994,Y,01319808,한일시멘트,6,2,1,-,-,2022-12-31,2022,outside_director
20240320001711,Y,01319808,한일시멘트,6,2,1,-,-,2023-12-31,2023,outside_director
20250317000951,Y,01319808,한일시멘트,7,4,4,-,1,2024-12-31,2024,outside_director
20210601000044,Y,00671376,트리니티항공,7,3,-,-,-,2020-12-31,2020,outside_director
20220323001033,Y,00671376,트리니티항공,9,4,-,-,-,2021-12-31,2021,outside_director
20230323000581,Y,00671376,트리니티항공,9,4,-,-,-,2022-12-31,2022,outside_director
20240321001328,Y,00671376,트리니티항공,9,4,-,-,-,2023-12-31,2023,outside_director
