corp_code,stock_code,corp_name,market,sector,fiscal_year
00447609,090460,비에이치,KOSPI,전자부품 제조업,2024
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2018
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2019
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2020
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2021
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2022
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2023
01765256,460850,동국씨엠,KOSPI,1차 철강 제조업,2024
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2018
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2019
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2020
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2021
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2022
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2023
01765265,460860,동국제강,KOSPI,1차 철강 제조업,2024
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2018
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2019
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2020
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2021
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2022
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2023
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2024
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2018
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2019
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2020
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2021
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2022
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2023
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2024
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2018
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2019
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2020
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2021
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2022
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2023
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2024
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2018
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2019
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2020
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2021
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2022
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2023
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2024
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2018
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2019
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2020
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2021
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2022
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2023
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2024
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2018
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2019
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2020
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2021
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2022
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2023
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2024
01702017,446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,2018
01702017,446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,2019
01702017,446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,2020
01702017,446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,2021
01702017,446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,2022
01702017,446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,2023
01702017,446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,2024
00525934,108320,LX세미콘,KOSPI,반도체 제조업,2018
00525934,108320,LX세미콘,KOSPI,반도체 제조업,2019
00525934,108320,LX세미콘,KOSPI,반도체 제조업,2020
00525934,108320,LX세미콘,KOSPI,반도체 제조업,2021
00525934,108320,LX세미콘,KOSPI,반도체 제조업,2022
00525934,108320,LX세미콘,KOSPI,반도체 제조업,2023
00525934,108320,LX세미콘,KOSPI,반도체 제조업,2024
01026157,403550,쏘카,KOSPI,운송장비 임대업,2018
01026157,403550,쏘카,KOSPI,운송장비 임대업,2019
01026157,403550,쏘카,KOSPI,운송장비 임대업,2020
01026157,403550,쏘카,KOSPI,운송장비 임대업,2021
01026157,403550,쏘카,KOSPI,운송장비 임대업,2022
01026157,403550,쏘카,KOSPI,운송장비 임대업,2023
01026157,403550,쏘카,KOSPI,운송장비 임대업,2024
00193328,126720,수산인더스트리,KOSPI,전기 및 통신 공사업,2018
00193328,126720,수산인더스트리,KOSPI,전기 및 통신 공사업,2019
00193328,126720,수산인더스트리,KOSPI,전기 및 통신 공사업,2020
00193328,126720,수산인더스트리,KOSPI,전기 및 통신 공사업,2021
00193328,126720,수산인더스트리,KOSPI,전기 및 통신 공사업,2022
00193328,126720,수산인더스트리,KOSPI,전기 및 통신 공사업,2023
00193328,126720,수산인더스트리,KOSPI,전기 및 통신 공사업,2024
01515323,373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,2018
01515323,373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,2019
01515323,373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,2020
01515323,373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,2021
01515323,373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,2022
01515323,373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,2023
01515323,373220,LG에너지솔루션,KOSPI,일차전지 및 이차전지 제조업,2024
01323032,381970,케이카,KOSPI,자동차 판매업,2018
01323032,381970,케이카,KOSPI,자동차 판매업,2019
01323032,381970,케이카,KOSPI,자동차 판매업,2020
01323032,381970,케이카,KOSPI,자동차 판매업,2021
