corp_code,stock_code,corp_name,market,sector,fiscal_year,CorrectionCount,FirstCorrectionDate,LastCorrectionDate,CorrectionDummy,LogCorrectionCount,MaterialCorrectionCount,MaterialKeywordHits,MaterialCorrectionDummy
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2021,0,,,0,0.0,0,0,0
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2022,0,,,0,0.0,0,0,0
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2023,0,,,0,0.0,0,0,0
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2024,0,,,0,0.0,0,0,0
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2018,0,,,0,0.0,0,0,0
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2019,0,,,0,0.0,0,0,0
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2020,0,,,0,0.0,0,0,0
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2021,0,,,0,0.0,0,0,0
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2022,0,,,0,0.0,0,0,0
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2023,0,,,0,0.0,0,0,0
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2024,0,,,0,0.0,0,0,0
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2018,0,,,0,0.0,0,0,0
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2019,0,,,0,0.0,0,0,0
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2020,0,,,0,0.0,0,0,0
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2021,0,,,0,0.0,0,0,0
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2022,0,,,0,0.0,0,0,0
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2023,0,,,0,0.0,0,0,0
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2024,2,20250327,20250331,1,1.0986122886681098,2,50,1
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2018,0,,,0,0.0,0,0,0
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2019,0,,,0,0.0,0,0,0
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2020,0,,,0,0.0,0,0,0
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2021,0,,,0,0.0,0,0,0
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2022,0,,,0,0.0,0,0,0
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2023,0,,,0,0.0,0,0,0
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2024,0,,,0,0.0,0,0,0
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2018,0,,,0,0.0,0,0,0
