model,variable,coef,std_err,t_or_z,p_value,nobs,stars,coef_stars,std_err_fmt
M1_controls,C(sector)[T.연료용 가스 제조 및 배관공급업],-0.04183993954662791,0.0913072654017536,-0.45823231440051815,0.6467855462351815,4575.0,,-0.0418,(0.0913)
M1_controls,C(sector)[T.영상 및 음향기기 제조업],0.057321887705276554,0.09202977986625042,0.6228623798577388,0.5333749616287151,4575.0,,0.0573,(0.0920)
M1_controls,"C(sector)[T.영화, 비디오물, 방송프로그램 제작 및 배급업]",0.051262835540409314,0.1292265721780162,0.39668958695114304,0.6915963799148575,4575.0,,0.0513,(0.1292)
M1_controls,C(sector)[T.오디오물 출판 및 원판 녹음업],0.12030183422791722,0.0516231023846733,2.3303875333078468,0.01978567807664622,4575.0,**,0.1203**,(0.0516)
M1_controls,C(sector)[T.운송장비 임대업],-0.0050311307492490985,0.17671744120630647,-0.028469916239764758,0.9772873616620468,4575.0,,-0.0050,(0.1767)
M1_controls,C(sector)[T.유리 및 유리제품 제조업],0.10899175459899671,0.057407288766757554,1.8985699715209303,0.0576210397145167,4575.0,*,0.1090*,(0.0574)
M1_controls,C(sector)[T.유원지 및 기타 오락관련 서비스업],0.03701959788413806,0.09118696421080877,0.4059746719778393,0.6847612105641019,4575.0,,0.0370,(0.0912)
M1_controls,C(sector)[T.육상 여객 운송업],-0.06304577075228275,0.05263698883009961,-1.1977465305962003,0.23101570875677024,4575.0,,-0.0630,(0.0526)
M1_controls,C(sector)[T.음·식료품 및 담배 도매업],-0.027436505841119722,0.08438150789468092,-0.325148323674946,0.7450688171592014,4575.0,,-0.0274,(0.0844)
M1_controls,C(sector)[T.음식점업],-0.09059637580966864,0.05132832895381537,-1.7650365335521871,0.07755762589583329,4575.0,*,-0.0906*,(0.0513)
M1_controls,C(sector)[T.의료용 기기 제조업],0.05245277459584881,0.08481259295319006,0.6184550285450965,0.5362754334938278,4575.0,,0.0525,(0.0848)
M1_controls,C(sector)[T.의료용품 및 기타 의약 관련제품 제조업],0.10258838679498322,0.0547999486622668,1.8720526076992798,0.06119932570244943,4575.0,*,0.1026*,(0.0548)
M1_controls,C(sector)[T.의약품 제조업],0.028704811370991783,0.060113105231693234,0.4775133685134908,0.6329966036093346,4575.0,,0.0287,(0.0601)
M1_controls,C(sector)[T.일반 목적용 기계 제조업],0.04857720817491346,0.07437368058608972,0.6531505203468305,0.5136592453091577,4575.0,,0.0486,(0.0744)
M1_controls,C(sector)[T.일반 및 생활 숙박시설 운영업],-0.09692085898739529,0.0508463474510561,-1.9061518446470476,0.05663050791476617,4575.0,*,-0.0969*,(0.0508)
M1_controls,C(sector)[T.일차전지 및 이차전지 제조업],-0.007389692255544472,0.08908026767010975,-0.08295543388924986,0.9338869760214539,4575.0,,-0.0074,(0.0891)
M1_controls,C(sector)[T.자동차 부품 및 내장품 판매업],-0.03289367036970244,0.05249300485022018,-0.6266295950014465,0.5309020640985486,4575.0,,-0.0329,(0.0525)
M1_controls,C(sector)[T.자동차 신품 부품 제조업],0.016244104958250422,0.05969119183356561,0.2721357114721911,0.7855176715719803,4575.0,,0.0162,(0.0597)
M1_controls,C(sector)[T.자동차 판매업],0.07881034152936031,0.11905211061810875,0.6619818928046174,0.5079828262956088,4575.0,,0.0788,(0.1191)
M1_controls,C(sector)[T.자동차용 엔진 및 자동차 제조업],-0.07152762455015536,0.08180141061905766,-0.874405759128697,0.3818973221591936,4575.0,,-0.0715,(0.0818)
M1_controls,"C(sector)[T.자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업]",-0.000905333537988069,0.08949730586161947,-0.010115763030765347,0.9919289265076048,4575.0,,-0.0009,(0.0895)
M1_controls,C(sector)[T.자연과학 및 공학 연구개발업],-0.020344669081041402,0.20364900892111346,-0.09990065352550878,0.920423197509859,4575.0,,-0.0203,(0.2036)
M1_controls,C(sector)[T.전구 및 조명장치 제조업],0.025741094946254626,0.059778367611920694,0.4306088636171033,0.6667527952352319,4575.0,,0.0257,(0.0598)
M1_controls,C(sector)[T.전기 및 통신 공사업],0.10039784945684806,0.05258500187451119,1.909248756830653,0.05623000930004865,4575.0,*,0.1004*,(0.0526)
M1_controls,C(sector)[T.전기 통신업],-0.09251592137701908,0.056962886822435346,-1.6241438336053722,0.10434511474084414,4575.0,,-0.0925,(0.0570)
M1_controls,C(sector)[T.전기업],0.11892313383531505,0.1702534248504643,0.6985065583248427,0.4848604578525808,4575.0,,0.1189,(0.1703)
M1_controls,"C(sector)[T.전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업]",0.13590145460502012,0.09905146557812619,1.3720287106486955,0.17005450023150626,4575.0,,0.1359,(0.0991)
M1_controls,C(sector)[T.전자부품 제조업],-0.010915850684407305,0.06309478924238153,-0.17300716613021025,0.8626457948075847,4575.0,,-0.0109,(0.0631)
M1_controls,C(sector)[T.절연선 및 케이블 제조업],-0.003959178830449225,0.09437958534096762,-0.04194952559015591,0.9665389354085264,4575.0,,-0.0040,(0.0944)
M1_controls,C(sector)[T.제재 및 목재 가공업],0.09321531013380975,0.1287029387829146,0.7242671458422373,0.4689017429053325,4575.0,,0.0932,(0.1287)
M1_controls,C(sector)[T.종합 소매업],-0.10107927184741106,0.06973104386440003,-1.4495591381647925,0.1471814977489317,4575.0,,-0.1011,(0.0697)
M1_controls,"C(sector)[T.증기, 냉·온수 및 공기조절 공급업]",0.13108412917602058,0.05245423672740586,2.4990189039874604,0.012453766751609717,4575.0,**,0.1311**,(0.0525)
M1_controls,C(sector)[T.직물직조 및 직물제품 제조업],0.16184901894388823,0.12525276615137615,1.2921791982484692,0.19629509377852927,4575.0,,0.1618,(0.1253)
M1_controls,C(sector)[T.초등 교육기관],-0.02784990119601905,0.15982581772269372,-0.1742515795810919,0.8616677508853243,4575.0,,-0.0278,(0.1598)
M1_controls,"C(sector)[T.측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외]",0.017702305525357533,0.10700367052649302,0.16543643258456842,0.8686004796803399,4575.0,,0.0177,(0.1070)
M1_controls,C(sector)[T.컴퓨터 및 주변장치 제조업],-0.1233044837781777,0.06935765819082465,-1.7778063301809934,0.07543566847817443,4575.0,*,-0.1233*,(0.0694)
M1_controls,"C(sector)[T.컴퓨터 프로그래밍, 시스템 통합 및 관리업]",0.0225273853993658,0.0750593753760545,0.300127536187205,0.7640798759877108,4575.0,,0.0225,(0.0751)
M1_controls,C(sector)[T.텔레비전 방송업],-0.09934792573953538,0.08578128393513372,-1.1581538673944367,0.24680125062807967,4575.0,,-0.0993,(0.0858)
M1_controls,C(sector)[T.토목 건설업],0.1758373261293043,0.07117559013576268,2.470472331791087,0.013493475667316032,4575.0,**,0.1758**,(0.0712)
M1_controls,C(sector)[T.통신 및 방송 장비 제조업],-0.08336681167665788,0.08460779196704413,-0.9853325531663842,0.32446074759435406,4575.0,,-0.0834,(0.0846)
M1_controls,C(sector)[T.특수 목적용 기계 제조업],-0.014317671671724968,0.0588255253992535,-0.2433921596883291,0.8077016168909766,4575.0,,-0.0143,(0.0588)
M1_controls,"C(sector)[T.펄프, 종이 및 판지 제조업]",-0.0996197300805396,0.07902292137111924,-1.260643473463738,0.20743732822088068,4575.0,,-0.0996,(0.0790)
M1_controls,C(sector)[T.편조원단 제조업],0.21883394916800863,0.054938540630376786,3.98325013109304,6.797914044153973e-05,4575.0,***,0.2188***,(0.0549)
M1_controls,C(sector)[T.플라스틱제품 제조업],-0.07900502321285617,0.06007245842326067,-1.3151621439595456,0.1884554148237595,4575.0,,-0.0790,(0.0601)
M1_controls,C(sector)[T.합성고무 및 플라스틱 물질 제조업],0.19400495643708038,0.05266418070593491,3.6838122958821096,0.00022977146810803438,4575.0,***,0.1940***,(0.0527)
M1_controls,C(sector)[T.항공 여객 운송업],0.04140559888027248,0.09302307009157791,0.4451110766341096,0.6562394844591575,4575.0,,0.0414,(0.0930)
M1_controls,"C(sector)[T.항공기,우주선 및 부품 제조업]",0.14658314994867092,0.0534604265946206,2.7419001172620776,0.006108491343277542,4575.0,***,0.1466***,(0.0535)
M1_controls,C(sector)[T.해상 운송업],-0.03363265418674406,0.0845326299234196,-0.3978659390724362,0.6907290084835828,4575.0,,-0.0336,(0.0845)
M1_controls,C(sector)[T.화학섬유 제조업],0.013562187820545737,0.09487470370595438,0.1429484076448775,0.886330927342384,4575.0,,0.0136,(0.0949)
M1_controls,LogAssets_w,0.025267810524671277,0.005678265650875441,4.449916942645267,8.590350485234023e-06,4575.0,***,0.0253***,(0.0057)
M1_controls,Leverage_w,0.038807399510203205,0.0449635882987985,0.8630850200903606,0.3880907234558567,4575.0,,0.0388,(0.0450)
M1_controls,ROA_w,-0.21262794162602813,0.13858686758209732,-1.5342575045941471,0.12496631571717937,4575.0,,-0.2126,(0.1386)
M1_controls,Loss,0.03942702411690555,0.02197799827323615,1.7939315321959082,0.07282409778737121,4575.0,*,0.0394*,(0.0220)
M2_governance,Intercept,0.3807434295250435,0.19051541602290295,1.9984914474284439,0.045663406242325136,3193.0,**,0.3807**,(0.1905)
M2_governance,C(fiscal_year)[T.2020],-0.8245393113855509,0.06573252795996674,-12.543855180615026,4.295776361708263e-36,3193.0,***,-0.8245***,(0.0657)
M2_governance,C(fiscal_year)[T.2021],-0.7898055609762968,0.0666865854781773,-11.843544774604707,2.3241767966147976e-32,3193.0,***,-0.7898***,(0.0667)
