corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,fiscal_year,filing_year
00171265,파라다이스,034230,Y,[기재정정]사업보고서 (2020.12),20210419000082,파라다이스,20210419,연,2020,2021
00171265,파라다이스,034230,Y,사업보고서 (2020.12),20210318001359,파라다이스,20210318,정연,2020,2021
00171265,파라다이스,034230,Y,분기보고서 (2022.09),20221114000818,파라다이스,20221114,,2021,2022
00171265,파라다이스,034230,Y,반기보고서 (2022.06),20220816001307,파라다이스,20220816,,2021,2022
00171265,파라다이스,034230,Y,분기보고서 (2022.03),20220516001690,파라다이스,20220516,,2021,2022
00171265,파라다이스,034230,Y,사업보고서 (2021.12),20220317001345,파라다이스,20220317,연,2021,2022
00171265,파라다이스,034230,Y,분기보고서 (2023.09),20231114000764,파라다이스,20231114,,2022,2023
00171265,파라다이스,034230,Y,반기보고서 (2023.06),20230814000567,파라다이스,20230814,,2022,2023
00171265,파라다이스,034230,Y,분기보고서 (2023.03),20230515000879,파라다이스,20230515,,2022,2023
00171265,파라다이스,034230,Y,사업보고서 (2022.12),20230316001131,파라다이스,20230316,연,2022,2023
00171265,파라다이스,034230,Y,분기보고서 (2024.09),20241114001521,파라다이스,20241114,,2023,2024
00171265,파라다이스,034230,Y,반기보고서 (2024.06),20240814003760,파라다이스,20240814,,2023,2024
00171265,파라다이스,034230,Y,분기보고서 (2024.03),20240514001129,파라다이스,20240514,,2023,2024
00171265,파라다이스,034230,Y,사업보고서 (2023.12),20240314000746,파라다이스,20240314,연,2023,2024
00171265,파라다이스,034230,Y,분기보고서 (2025.09),20251114002671,파라다이스,20251114,,2024,2025
00171265,파라다이스,034230,Y,반기보고서 (2025.06),20250814003203,파라다이스,20250814,,2024,2025
00171265,파라다이스,034230,Y,분기보고서 (2025.03),20250515001099,파라다이스,20250515,,2024,2025
00171265,파라다이스,034230,Y,[기재정정]사업보고서 (2024.12),20250415000021,파라다이스,20250415,연,2024,2025
00171265,파라다이스,034230,Y,[기재정정]사업보고서 (2024.12),20250326000063,파라다이스,20250326,정연,2024,2025
00171265,파라다이스,034230,Y,[첨부정정]사업보고서 (2024.12),20250326000060,파라다이스,20250326,정연,2024,2025
00171265,파라다이스,034230,Y,사업보고서 (2024.12),20250320001599,파라다이스,20250320,정연,2024,2025
01194689,HD현대마린솔루션,443060,Y,분기보고서 (2024.09),20241114001662,HD현대마린솔루션,20241114,,2023,2024
01194689,HD현대마린솔루션,443060,Y,[기재정정]반기보고서 (2024.06),20240814003800,HD현대마린솔루션,20240814,,2023,2024
01194689,HD현대마린솔루션,443060,Y,반기보고서 (2024.06),20240813001613,HD현대마린솔루션,20240813,정,2023,2024
01194689,HD현대마린솔루션,443060,Y,분기보고서 (2025.09),20251114001631,HD현대마린솔루션,20251114,,2024,2025
