corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,fiscal_year,filing_year,is_correction
00458234,아시아나IDT,267850,Y,[기재정정]사업보고서 (2018.12),20190516000059,아시아나IDT,20190516,연,2018,2019,1
00458234,아시아나IDT,267850,Y,[기재정정]사업보고서 (2018.12),20190402000723,아시아나IDT,20190402,정연,2018,2019,1
00458234,아시아나IDT,267850,Y,[기재정정]사업보고서 (2022.12),20230719000433,아시아나IDT,20230719,,2022,2023,1
00458234,아시아나IDT,267850,Y,[기재정정]사업보고서 (2024.12),20250813001353,아시아나IDT,20250813,,2024,2025,1
00248974,하나제약,293480,Y,[기재정정]사업보고서 (2021.12),20220331002435,하나제약,20220331,,2021,2022,1
00248974,하나제약,293480,Y,[기재정정]사업보고서 (2022.12),20230712000281,하나제약,20230712,,2022,2023,1
00143262,우진아이엔에스,010400,Y,[기재정정]사업보고서 (2021.12),20220812000678,우진아이엔에스,20220812,연,2021,2022,1
00143262,우진아이엔에스,010400,Y,[기재정정]사업보고서 (2024.12),20250711000031,우진아이엔에스,20250711,연,2024,2025,1
01319808,한일시멘트,300720,Y,[기재정정]사업보고서 (2019.12),20200401002489,한일시멘트,20200401,,2019,2020,1
00671376,트리니티항공,091810,Y,[기재정정]사업보고서 (2020.12),20210601000044,트리니티항공,20210601,연,2020,2021,1
01262032,롯데이노베이트,286940,Y,[기재정정]사업보고서 (2021.12),20220314001163,롯데이노베이트,20220314,연,2021,2022,1
01262032,롯데이노베이트,286940,Y,[기재정정]사업보고서 (2024.12),20250320001204,롯데이노베이트,20250320,연,2024,2025,1
01316254,HS효성첨단소재,298050,Y,[기재정정]사업보고서 (2019.12),20200330004579,HS효성첨단소재,20200330,연,2019,2020,1
01316245,효성중공업,298040,Y,[기재정정]사업보고서 (2018.12),20190618000136,효성중공업,20190618,연,2018,2019,1
01316245,효성중공업,298040,Y,[기재정정]사업보고서 (2021.12),20220727000309,효성중공업,20220727,연,2021,2022,1
01316245,효성중공업,298040,Y,[기재정정]사업보고서 (2022.12),20230309000420,효성중공업,20230309,연,2022,2023,1
01316245,효성중공업,298040,Y,[기재정정]사업보고서 (2023.12),20240315000877,효성중공업,20240315,연,2023,2024,1
01316245,효성중공업,298040,Y,[기재정정]사업보고서 (2024.12),20250814003044,효성중공업,20250814,연,2024,2025,1
01310269,IPARK현대산업개발,294870,Y,[기재정정]사업보고서 (2018.12),20190814000224,IPARK현대산업개발,20190814,정연,2018,2019,1
01310269,IPARK현대산업개발,294870,Y,[기재정정]사업보고서 (2019.12),20200630000680,IPARK현대산업개발,20200630,연,2019,2020,1
