fiscal_year,corp_code,corp_name,stock_code,market,sector,n_annual_report_filings,n_annual_corrections,any_correction
2018,00136776,차AI헬스케어,025620,KOSPI,기타 화학제품 제조업,3,2,1
2018,00136864,신원,009270,KOSPI,봉제의복 제조업,1,0,0
2018,00137207,유니켐,011330,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00137252,사조동아원,008040,KOSPI,"곡물가공품, 전분 및 전분제품 제조업",1,0,0
2018,00137359,신풍제약,019170,KOSPI,의약품 제조업,1,0,0
2018,00137368,신풍,002870,KOSPI,기타 전문 도매업,1,0,0
2018,00137809,SHD,001770,KOSPI,1차 철강 제조업,1,0,0
2018,00137997,현대차증권,001500,KOSPI,금융 지원 서비스업,1,0,0
2018,00138057,써니전자,004770,KOSPI,전자부품 제조업,1,0,0
2018,00138190,GS글로벌,001250,KOSPI,상품 종합 도매업,1,0,0
2018,00138242,KG모빌리티,003620,KOSPI,자동차용 엔진 및 자동차 제조업,1,0,0
2018,00138260,SIMPAC,009160,KOSPI,1차 철강 제조업,1,0,0
2018,00138279,S-Oil,010950,KOSPI,석유 정제품 제조업,1,0,0
2018,00138297,STX,011810,KOSPI,상품 종합 도매업,2,1,1
2018,00138516,아남전자,008700,KOSPI,영상 및 음향기기 제조업,1,0,0
2018,00138701,아세아,002030,KOSPI,회사 본부 및 경영 컨설팅 서비스업,1,0,0
2018,00138729,아세아제지,002310,KOSPI,"골판지, 종이 상자 및 종이용기 제조업",1,0,0
2018,00138792,아시아나항공,020560,KOSPI,항공 여객 운송업,1,0,0
2018,00139214,삼성화재해상보험,000810,KOSPI,보험업,1,0,0
2018,00139454,애경산업,018250,KOSPI,기타 화학제품 제조업,2,1,1
2018,00139764,에넥스,011090,KOSPI,가구 제조업,1,0,0
2018,00139834,LG씨엔에스,064400,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1,0,0
2018,00139889,SKC,011790,KOSPI,기타 화학제품 제조업,1,0,0
2018,00140131,키다리스튜디오,020120,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",3,2,1
2018,00140168,HS애드,035000,KOSPI,광고업,2,1,1
2018,00140177,GS리테일,007070,KOSPI,종합 소매업,2,1,1
2018,00140779,영보화학,014440,KOSPI,플라스틱제품 제조업,1,0,0
2018,00140946,한솔로지스틱스,009180,KOSPI,기타 운송관련 서비스업,1,0,0
2018,00140955,한솔케미칼,014680,KOSPI,기초 화학물질 제조업,1,0,0
2018,00140964,영원무역홀딩스,009970,KOSPI,기타 금융업,1,0,0
2018,00141149,영진약품,003520,KOSPI,의약품 제조업,1,0,0
2018,00141307,영풍,000670,KOSPI,1차 비철금속 제조업,1,0,0
2018,00141404,블루산업개발,006740,KOSPI,"골판지, 종이 상자 및 종이용기 제조업",1,0,0
2018,00141413,영화금속,012280,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00141477,영흥,012160,KOSPI,1차 철강 제조업,1,0,0
2018,00141529,오뚜기,007310,KOSPI,기타 식품 제조업,1,0,0
2018,00141626,오리엔트바이오,002630,KOSPI,의약품 제조업,1,0,0
2018,00141875,사조오양,006090,KOSPI,수산물 가공 및 저장 처리업,1,0,0
2018,00142661,우성,006980,KOSPI,"곡물가공품, 전분 및 전분제품 제조업",1,0,0
2018,00142865,WISCOM,024070,KOSPI,플라스틱제품 제조업,1,0,0
2018,00142883,우신시스템,017370,KOSPI,특수 목적용 기계 제조업,1,0,0
2018,00143262,우진아이엔에스,010400,KOSPI,건물설비 설치 공사업,1,0,0
2018,00143314,에이엔피,015260,KOSPI,전자부품 제조업,1,0,0
2018,00143527,경동인베스트,012320,KOSPI,기타 금융업,1,0,0
2018,00143651,웅진,016880,KOSPI,회사 본부 및 경영 컨설팅 서비스업,1,0,0
2018,00143794,원림,005820,KOSPI,직물직조 및 직물제품 제조업,1,0,0
2018,00144164,SK가스,018670,KOSPI,기타 전문 도매업,1,0,0
2018,00144252,유니온,000910,KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업",1,0,0
2018,00144395,동서,026960,KOSPI,음·식료품 및 담배 도매업,1,0,0
2018,00144720,와이투솔루션,011690,KOSPI,반도체 제조업,2,1,1
2018,00144818,유유제약,000220,KOSPI,의약품 제조업,1,0,0
2018,00145109,유한양행,000100,KOSPI,의약품 제조업,1,0,0
