corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year,CorrectionDummy_filing
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2018.12),20190401005084,크래프톤,20190401,정연,2019,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2017.12),20190125000554,크래프톤,20190125,정,2019,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2016.12),20190125000518,크래프톤,20190125,정연,2019,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2018.12),20200330003881,크래프톤,20200330,연,2020,2020,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2017.12),20200330003644,크래프톤,20200330,,2020,2020,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2016.12),20200330003370,크래프톤,20200330,연,2020,2020,1
00854997,에스디바이오센서,137310,Y,[기재정정]사업보고서 (2020.12),20210514001634,에스디바이오센서,20210514,연,2021,2021,1
00854997,에스디바이오센서,137310,Y,[기재정정]사업보고서 (2022.12),20230515000371,에스디바이오센서,20230515,정연,2023,2023,1
01568413,F&F,383220,Y,[기재정정]사업보고서 (2022.12),20230831001367,F&F,20230831,연,2023,2023,1
01386916,SK아이이테크놀로지,361610,Y,[기재정정]사업보고서 (2022.12),20230814002466,SK아이이테크놀로지,20230814,연,2023,2023,1
01319899,SK바이오사이언스,302440,Y,[기재정정]사업보고서 (2019.12),20201127001236,SK바이오사이언스,20201127,,2020,2020,1
01510489,프레스티지바이오파마,950210,Y,[기재정정]사업보고서 (2023.06),20231129001041,프레스티지바이오파마,20231129,연,2023,2023,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2019.12),20201208000451,솔루엠,20201208,연,2020,2020,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2019.12),20200904000075,솔루엠,20200904,정연,2020,2020,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2019.12),20200814002594,솔루엠,20200814,정연,2020,2020,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2019.12),20200814001446,솔루엠,20200814,정연,2020,2020,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2020.12),20210421000598,솔루엠,20210421,연,2021,2021,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2020.12),20210324000318,솔루엠,20210324,정연,2021,2021,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2023.12),20240319000321,솔루엠,20240319,연,2024,2024,1
01524093,DL이앤씨,375500,Y,[기재정정]사업보고서 (2023.12),20240328001465,DL이앤씨,20240328,연,2024,2024,1
00173078,명신산업,009900,Y,[기재정정]사업보고서 (2023.12),20240328000483,명신산업,20240328,연,2024,2024,1
01204056,하이브,352820,Y,[기재정정]사업보고서 (2022.12),20230403004275,하이브,20230403,연,2023,2023,1
01204056,하이브,352820,Y,[기재정정]사업보고서 (2023.12),20240322001002,하이브,20240322,연,2024,2024,1
01428203,케이씨씨글라스,344820,Y,[기재정정]사업보고서 (2021.12),20220713000282,케이씨씨글라스,20220713,연,2022,2022,1
