estimator,theta,se,ci_low,ci_high,J_hat,score_sd,top1_share,top05_share,ess,tau,q,bias_proxy,notes,true_theta,bias,rmse_component,covered,tail,contamination,weak_overlap,nonlinear,rep
score_clipped_dml_q0.97,0.6131949482425888,0.0706658180537173,0.47469248991924257,0.751697406565935,-0.16502260194725932,0.4516462938851292,0.039732396803245904,0.01854178517484809,756.1366557146672,1.273658265601979,0.97,0.014575246314342769,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.1131949482425888,0.012813096307642357,1,normal,0.0,True,True,8
score_clipped_dml_q0.99,0.6082120029844644,0.07081213353711177,0.46942277158328444,0.7470012343856445,-0.17424611976973498,0.47787732602338606,0.052421141673465295,0.024463199447617136,710.8289457920972,1.7239116702427608,0.99,0.006262489797486193,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.10821200298446443,0.011709837589909738,1,normal,0.0,True,True,8
score_clipped_dml_q0.995,0.6061916050084546,0.0717826192835041,0.4655002564968362,0.746882953520073,-0.17720095929594373,0.49264150633135284,0.0629168933156702,0.031134730024765595,683.9127956790044,2.2186012060773486,0.995,0.0025747786079229115,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.10619160500845459,0.011276656974271639,1,normal,0.0,True,True,8
score_clipped_dml_q0.999,0.6084443460441799,0.07230182200298521,0.46673537890170325,0.7501533131866565,-0.18014353362280744,0.504444682769137,0.06948375607602043,0.03784891731266263,661.5380911192298,2.9336344360314333,0.999,0.00022927533968371765,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.10844434604417985,0.011760176188949827,1,normal,0.0,True,True,8
standard_dml,0.5947192177166474,0.0674584401678914,0.4625031045343301,0.7269353308989647,-0.1907260259474625,0.4983011438366598,0.05752759591365255,0.031032509600431753,744.0229677625255,,,,Standard orthogonal-score DML.,0.5,0.09471921771664737,0.008971730204853645,1,normal,0.0,True,True,9
outcome_winsorized_dml,0.5885020824568911,0.06686188269123433,0.4574552004435297,0.7195489644702524,-0.1907260259474625,0.4938945006910031,0.05667141138934694,0.03070823515239427,747.9108645578268,,,,Standard orthogonal-score DML.,0.5,0.08850208245689106,0.007832618599206346,1,normal,0.0,True,True,9
covariate_winsorized_dml,0.5895950062790988,0.06769194542140226,0.4569212312096993,0.7222687813484983,-0.19031754074227866,0.49895507270683276,0.05740676320159944,0.03091312606881316,743.435441544712,,,,Standard orthogonal-score DML.,0.5,0.08959500627909878,0.008027265150151749,1,normal,0.0,True,True,9
score_clipped_dml_q0.95,0.6033906244212536,0.06872915498577013,0.46868395596127266,0.7380972928812345,-0.16718622879380085,0.44502779394239833,0.03123185879682079,0.014574867438516364,841.1751365198326,1.040489588682875,0.95,0.0176952930840354,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.10339062442125357,0.010689621218216715,1,normal,0.0,True,True,9
score_clipped_dml_q0.97,0.6048211461785105,0.06786743085723446,0.47180342597506864,0.7378388663819523,-0.1752492540297072,0.4606416643499079,0.035302646878259576,0.016474568543187802,815.3341807380889,1.1985271248152092,0.97,0.011332745701815635,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.10482114617851046,0.010987472686176659,1,normal,0.0,True,True,9
score_clipped_dml_q0.99,0.603381764749644,0.06714082047515557,0.47178817472586965,0.7349753547734184,-0.1847726178120368,0.48047399326119283,0.04542013205868796,0.02119606162738772,780.1256621898655,1.573294837308564,0.99,0.004449360006377765,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.103381764749644,0.010687789282750736,1,normal,0.0,True,True,9
