rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm,stlm_dt,query_year,endpoint_label
20250311001270,Y,00139834,LG씨엔에스,보통주식,구본능,특수관계인,"729,400",0.84,"729,400",0.84,-,2024-12-31,2024,largest_shareholder
20250311001270,Y,00139834,LG씨엔에스,보통주식,구본준,특수관계인,"243,200",0.28,"243,200",0.28,-,2024-12-31,2024,largest_shareholder
20250311001270,Y,00139834,LG씨엔에스,보통주식,구본식,특수관계인,"121,500",0.14,"121,500",0.14,-,2024-12-31,2024,largest_shareholder
20250311001270,Y,00139834,LG씨엔에스,보통주식,계,,"45,623,918",52.32,"45,623,918",52.32,-,2024-12-31,2024,largest_shareholder
20250311001270,Y,00139834,LG씨엔에스,기타주식,계,,-,-,-,-,-,2024-12-31,2024,largest_shareholder
20250319000653,Y,01519790,엠앤씨솔루션,보통주,"소시어스

웰투시인베스트먼트

제2호 기업재무안정

주식회사",본인,"106,052",100.00,"6,753,900",73.78,최대주주,2024-12-31,2024,largest_shareholder
20250319000653,Y,01519790,엠앤씨솔루션,보통주,계,,"106,052",100.00,"6,753,900",73.78,-,2024-12-31,2024,largest_shareholder
20250319000653,Y,01519790,엠앤씨솔루션,-,계,,-,-,-,-,-,2024-12-31,2024,largest_shareholder
20250320000574,Y,00968607,더본코리아,보통주,백종원,본인,"293,095",76.70,"8,792,850",60.00,(주1),2024-12-31,2024,largest_shareholder
20250320000574,Y,00968607,더본코리아,보통주,박준상,친인척,"1,364",0.40,"40,920",0.30,(주1),2024-12-31,2024,largest_shareholder
20250320000574,Y,00968607,더본코리아,보통주,강석원,임원,"72,902",19.10,"2,076,660",14.20,(주1),2024-12-31,2024,largest_shareholder
20250320000574,Y,00968607,더본코리아,보통주,계,,"367,361",96.10,"10,910,430",74.40,(주1),2024-12-31,2024,largest_shareholder
20250320000574,Y,00968607,더본코리아,-,계,,-,-,-,-,-,2024-12-31,2024,largest_shareholder
20250317000812,Y,01867758,한화비전,보통주,(주)한화,최대주주,"17,141,530",33.95,"17,141,530",33.95,-,2024-12-31,2024,largest_shareholder
20250317000812,Y,01867758,한화비전,보통주,안순홍,특수관계,"3,201",0.01,"3,201",0.01,-,2024-12-31,2024,largest_shareholder
20250317000812,Y,01867758,한화비전,보통주,계,,"17,144,731",33.96,"17,144,731",33.96,-,2024-12-31,2024,largest_shareholder
20250317000812,Y,01867758,한화비전,-,계,,-,-,-,-,-,2024-12-31,2024,largest_shareholder
20250317000567,Y,00372129,전진건설로봇,의결권있는 주식, 모트렉스전진1호주식회사,본인,"13,751,724",89.50,"11,444,870",78.40,-,2024-12-31,2024,largest_shareholder
20250317000567,Y,00372129,전진건설로봇,의결권있는 주식,계,,"13,751,724",89.50,"11,444,870",78.40,-,2024-12-31,2024,largest_shareholder
20250317000567,Y,00372129,전진건설로봇,기타,계,,-,-,-,-,-,2024-12-31,2024,largest_shareholder
20250328001583,Y,00366438,산일전기,보통주,박동석,최대주주 본인,"231,522",48.34,"10,965,347",36.02,(주2)(주3)(주4)(주5)(주6)(주7),2024-12-31,2024,largest_shareholder
20250328001583,Y,00366438,산일전기,보통주,강은숙,최대주주의 배우자,"127,732",26.67,"5,836,600",19.17,(주2)(주3)(주4)(주6)(주7),2024-12-31,2024,largest_shareholder
20250328001583,Y,00366438,산일전기,보통주,강은심,최대주주의 처형,"1,000",0.21,"50,000",0.16,(주2)(주3)(주4)(주6),2024-12-31,2024,largest_shareholder
20250328001583,Y,00366438,산일전기,보통주,서명석,계열회사의 등기임원,"9,200",1.92,"360,000",1.18,(주2)(주3)(주4)(주6),2024-12-31,2024,largest_shareholder
20250328001583,Y,00366438,산일전기,보통주,국중근,계열회사의 등기임원,542,0.11,"27,100",0.09,(주3)(주4)(주6),2024-12-31,2024,largest_shareholder
20250328001583,Y,00366438,산일전기,보통주,계,,"369,996",77.26,"17,239,047",56.62,-,2024-12-31,2024,largest_shareholder
20250328001583,Y,00366438,산일전기,-,계,,-,-,-,-,-,2024-12-31,2024,largest_shareholder
20250319000952,Y,01384787,시프트업,보통주,김형태,최대주주,"22,661,370",44.66,"22,661,370",38.85,-,2024-12-31,2024,largest_shareholder
20250319000952,Y,01384787,시프트업,보통주,유준석,미등기임원,"45,840",0.09,"45,840",0.08,-,2024-12-31,2024,largest_shareholder
20250319000952,Y,01384787,시프트업,보통주,조인상,미등기임원,0,0.00,"300,000",0.51,주식매수선택권 행사,2024-12-31,2024,largest_shareholder
20250319000952,Y,01384787,시프트업,보통주,채지윤,배우자,"269,850",0.53,"269,850",0.46,-,2024-12-31,2024,largest_shareholder
20250319000952,Y,01384787,시프트업,보통주,민경립,등기임원,"970,410",1.91,"970,410",1.66,-,2024-12-31,2024,largest_shareholder
20250319000952,Y,01384787,시프트업,보통주,이주환,등기임원,"921,600",1.82,0,0.00,퇴직,2024-12-31,2024,largest_shareholder
20250319000952,Y,01384787,시프트업,보통주,안재우,등기임원,"73,320",0.15,"73,320",0.13,-,2024-12-31,2024,largest_shareholder
20250319000952,Y,01384787,시프트업,보통주,이형복,미등기임원,"674,760",1.33,"544,350",0.93,-,2024-12-31,2024,largest_shareholder
20250319000952,Y,01384787,시프트업,보통주,조성래,미등기임원,"108,660",0.21,0,0.00,퇴직,2024-12-31,2024,largest_shareholder
20250319000952,Y,01384787,시프트업,보통주,이동기,미등기임원,"174,300",0.34,"174,300",0.30,-,2024-12-31,2024,largest_shareholder
20250319000952,Y,01384787,시프트업,보통주,유형석,미등기임원,"3,900",0.01,"33,900",0.06,주식매수선택권 행사,2024-12-31,2024,largest_shareholder
20250319000952,Y,01384787,시프트업,보통주,계,,"25,904,010",51.05,"25,073,340",42.98,-,2024-12-31,2024,largest_shareholder
20250319000952,Y,01384787,시프트업,우선주,계,,-,-,-,-,-,2024-12-31,2024,largest_shareholder
20190329004010,Y,00171265,파라다이스,보통주,(주)파라다이스글로벌,본인,"34,420,619",37.85,"34,420,619",37.85,최대주주,2018-12-31,2018,largest_shareholder
20190329004010,Y,00171265,파라다이스,보통주,최창석,계열사임원,"2,770",0.01,"2,770",0.01,-,2018-12-31,2018,largest_shareholder
20190329004010,Y,00171265,파라다이스,보통주,김영주,계열사임원,"9,162",0.01,0,0.01,등기임원 퇴임,2018-12-31,2018,largest_shareholder
20190329004010,Y,00171265,파라다이스,보통주,학교법인 계원학원,"계열비영리
법인","3,720,000",4.09,"3,720,000",4.09,-,2018-12-31,2018,largest_shareholder
20190329004010,Y,00171265,파라다이스,보통주,파라다이스복지재단,"계열비영리
법인","927,002",1.02,"927,002",1.02,-,2018-12-31,2018,largest_shareholder
20190329004010,Y,00171265,파라다이스,보통주,전지혜,특수관계인,"1,725,264",1.90,"1,725,264",1.90,-,2018-12-31,2018,largest_shareholder
20190329004010,Y,00171265,파라다이스,보통주,김성진,특수관계인,"920,680",1.01,0,0.00,특수관계인 제외,2018-12-31,2018,largest_shareholder
20190329004010,Y,00171265,파라다이스,보통주,전원미,특수관계인,"259,467",0.29,"259,467",0.29,-,2018-12-31,2018,largest_shareholder
20190329004010,Y,00171265,파라다이스,보통주,전필립,"본인의
최대주주","415,580",0.46,"415,580",0.46,-,2018-12-31,2018,largest_shareholder
20190329004010,Y,00171265,파라다이스,보통주,박병룡,발행회사임원,"40,000",0.04,"40,000",0.04,-,2018-12-31,2018,largest_shareholder
20190329004010,Y,00171265,파라다이스,보통주,최성욱,계열사임원,"5,000",0.01,0,0.00,등기임원 퇴임,2018-12-31,2018,largest_shareholder
20190329004010,Y,00171265,파라다이스,보통주,계,,"42,445,544",46.67,"41,510,702",45.64,-,2018-12-31,2018,largest_shareholder
20190329004010,Y,00171265,파라다이스,우선주,계,,-,-,-,-,-,2018-12-31,2018,largest_shareholder
