rcept_no,corp_cls,corp_code,corp_name,bsns_year,adtor,adt_opinion,adt_reprt_spcmnt_matter,stlm_dt,query_year,endpoint_label,emphs_matter,core_adt_matter
20250317000567,Y,00372129,전진건설로봇,"제24기
(전전기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,"- 해외매출 수익인식
- 대손충당금의 인식"
20250328001583,Y,00366438,산일전기,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250328001583,Y,00366438,산일전기,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250328001583,Y,00366438,산일전기,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250328001583,Y,00366438,산일전기,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250328001583,Y,00366438,산일전기,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250328001583,Y,00366438,산일전기,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250319000952,Y,01384787,시프트업,"제12기
(당기)",한영회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,"라이선스 매출의 
기간귀속에 대한 적정성"
20250319000952,Y,01384787,시프트업,"제12기
(당기)",-,,-,2024-12-31,2024,auditor_opinion,,
20250319000952,Y,01384787,시프트업,"제11기
(전기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,
20250319000952,Y,01384787,시프트업,"제11기
(전기)",-,,-,2024-12-31,2024,auditor_opinion,,
20250319000952,Y,01384787,시프트업,"제10기
(전전기)",한성회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,
20250319000952,Y,01384787,시프트업,"제10기
(전전기)",-,,-,2024-12-31,2024,auditor_opinion,,
20190329004010,Y,00171265,파라다이스,제48기 (당기),삼일회계법인,적정,해당사항 없음,2018-12-31,2018,auditor_opinion,,
20190329004010,Y,00171265,파라다이스,제47기 (전기),삼일회계법인,적정,해당사항 없음,2018-12-31,2018,auditor_opinion,,
20190329004010,Y,00171265,파라다이스,제46기 (전전기),삼일회계법인,적정,해당사항 없음,2018-12-31,2018,auditor_opinion,,
20200330001372,Y,00171265,파라다이스,제49기(당기),삼일회계법인,적정,-,2019-12-31,2019,auditor_opinion,"보고기간 말 이후
 ""코로나바이러스감염증-19""의 확산에 
따른 경영실적의 불확실성 증대(주1)",영업권의 손상평가(주1)
20200330001372,Y,00171265,파라다이스,제48기(전기),삼일회계법인,적정,-,2019-12-31,2019,auditor_opinion,,
20200330001372,Y,00171265,파라다이스,제47기(전전기),삼일회계법인,적정,-,2019-12-31,2019,auditor_opinion,,
20210419000082,Y,00171265,파라다이스,제50기(당기),삼일회계법인,적정,-,2020-12-31,2020,auditor_opinion,"""코로나바이러스 감염증-19로 인한 경영성과의 불확실성이 일반기업보다 클 수 있음",영업권의 손상검사
20210419000082,Y,00171265,파라다이스,제49기(전기),삼일회계법인,적정,-,2020-12-31,2020,auditor_opinion,"보고기간 말 이후
""코로나바이러스감염증-19""의 확산에 
따른 경영실적의 불확실성 증대",영업권의 손상평가
20210419000082,Y,00171265,파라다이스,제48기(전전기),삼일회계법인,적정,-,2020-12-31,2020,auditor_opinion,,
20220317001345,Y,00171265,파라다이스,제51기(당기),삼일회계법인,적정,-,2021-12-31,2021,auditor_opinion,"""코로나바이러스감염증-19""로 인한 재무상태 및 경영성과에 불확실성이 일반기업보다 클 수 있음","영업권의 
손상 검사"
20220317001345,Y,00171265,파라다이스,제50기(전기),삼일회계법인,적정,-,2021-12-31,2021,auditor_opinion,"""코로나바이러스 감염증-19로 인한 경영성과의 불확실성이 일반기업보다 클 수 있음","영업권의
손상검사"
20220317001345,Y,00171265,파라다이스,제49기(전전기),삼일회계법인,적정,-,2021-12-31,2021,auditor_opinion,"보고기간 말 이후
""코로나바이러스감염증-19""의 확산에 
따른 경영실적의 불확실성 증대","영업권의
 손상평가"
20230316001131,Y,00171265,파라다이스,제52기(당기),삼덕회계법인,적정,-,2022-12-31,2022,auditor_opinion,"""코로나바이러스감염증-19""로 인한 재무상태 및 경영성과의 불확실성이 일반기업보다 클 수 있음",영업권의 손상검사
20230316001131,Y,00171265,파라다이스,제51기(전기),삼일회계법인,적정,-,2022-12-31,2022,auditor_opinion,"""코로나바이러스감염증-19""로 인한 재무상태 및 경영성과의 불확실성이 일반기업보다 클 수 있음",영업권의 손상검사
20230316001131,Y,00171265,파라다이스,제50기(전전기),삼일회계법인,적정,-,2022-12-31,2022,auditor_opinion,"""코로나바이러스 감염증-19로 인한 경영성과의 불확실성이 일반기업보다 클 수 있음",영업권의 손상검사
20240314000746,Y,00171265,파라다이스,제53기(당기),삼덕회계법인,적정,-,2023-12-31,2023,auditor_opinion,해당사항 없음,영업권의 손상검사
20240314000746,Y,00171265,파라다이스,제52기(전기),삼덕회계법인,적정,-,2023-12-31,2023,auditor_opinion,"""코로나바이러스감염증-19""로 인한 재무상태 및 경영성과의 불확실성이 일반기업보다 클 수 있음",영업권의 손상검사
20240314000746,Y,00171265,파라다이스,제51기(전전기),삼일회계법인,적정,-,2023-12-31,2023,auditor_opinion,"""코로나바이러스감염증-19""로 인한 재무상태 및 경영성과의 불확실성이 일반기업보다 클 수 있음",영업권의 손상검사
20250415000021,Y,00171265,파라다이스,"제54기
(당기)",삼덕회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,영업권의 손상검사
20250415000021,Y,00171265,파라다이스,"제54기
(당기)",삼덕회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,영업권의 손상검사
20250415000021,Y,00171265,파라다이스,"제53기
(전기)",삼덕회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,영업권의 손상검사
20250415000021,Y,00171265,파라다이스,"제53기
(전기)",삼덕회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,영업권의 손상검사
20250415000021,Y,00171265,파라다이스,"제52기
(전전기)",삼덕회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,"""코로나바이러스감염증-19""로 인한 재무상태 및 경영성과의 불확실성이 일반기업보다 클 수 있음",영업권의 손상검사
20250415000021,Y,00171265,파라다이스,"제52기
(전전기)",삼덕회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,"""코로나바이러스감염증-19""로 인한 재무상태 및 경영성과의 불확실성이 일반기업보다 클 수 있음","-
영업권의 손상검사"
20250509000499,Y,01194689,HD현대마린솔루션,"제9기
(당기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,재고자산의 평가
20250509000499,Y,01194689,HD현대마린솔루션,"제9기
(당기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,재고자산의 평가
20250509000499,Y,01194689,HD현대마린솔루션,"제8기
(전기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,해당사항 없음
20250509000499,Y,01194689,HD현대마린솔루션,"제8기
(전기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,해당사항 없음
20250509000499,Y,01194689,HD현대마린솔루션,"제7기
(전전기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,해당사항 없음
