corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year,CorrectionDummy_filing
00525934,LX세미콘,108320,Y,사업보고서 (2022.12),20230315001207,LX세미콘,20230315,연,2023,2023,0
00525934,LX세미콘,108320,Y,사업보고서 (2023.12),20240313001269,LX세미콘,20240313,연,2024,2024,0
01026157,쏘카,403550,Y,사업보고서 (2022.12),20230322000801,쏘카,20230322,연,2023,2023,0
01026157,쏘카,403550,Y,사업보고서 (2023.12),20240320001168,쏘카,20240320,연,2024,2024,0
00193328,수산인더스트리,126720,Y,사업보고서 (2022.12),20230323001537,수산인더스트리,20230323,연,2023,2023,0
00193328,수산인더스트리,126720,Y,사업보고서 (2023.12),20240320000834,수산인더스트리,20240320,연,2024,2024,0
01515323,LG에너지솔루션,373220,Y,사업보고서 (2020.12),20210317000676,LG에너지솔루션,20210317,연,2021,2021,0
01515323,LG에너지솔루션,373220,Y,사업보고서 (2021.12),20220315001026,LG에너지솔루션,20220315,연,2022,2022,0
01515323,LG에너지솔루션,373220,Y,사업보고서 (2022.12),20230315001342,LG에너지솔루션,20230315,연,2023,2023,0
01515323,LG에너지솔루션,373220,Y,사업보고서 (2023.12),20240314001110,LG에너지솔루션,20240314,연,2024,2024,0
01323032,케이카,381970,Y,사업보고서 (2021.12),20220321001421,케이카,20220321,,2022,2022,0
01323032,케이카,381970,Y,[기재정정]사업보고서 (2022.12),20230407002574,케이카,20230407,,2023,2023,1
01323032,케이카,381970,Y,사업보고서 (2022.12),20230321000608,케이카,20230321,정,2023,2023,0
01323032,케이카,381970,Y,[기재정정]사업보고서 (2023.12),20240424000584,케이카,20240424,,2024,2024,1
01323032,케이카,381970,Y,사업보고서 (2023.12),20240319000627,케이카,20240319,정,2024,2024,0
01390344,HD현대중공업,329180,Y,사업보고서 (2020.12),20210401001108,HD현대중공업,20210401,연,2021,2021,0
01390344,HD현대중공업,329180,Y,사업보고서 (2021.12),20220314000704,HD현대중공업,20220314,연,2022,2022,0
01390344,HD현대중공업,329180,Y,사업보고서 (2022.12),20230320000790,HD현대중공업,20230320,연,2023,2023,0
01390344,HD현대중공업,329180,Y,사업보고서 (2023.12),20240318000459,HD현대중공업,20240318,연,2024,2024,0
00972503,일진하이솔루스,271940,Y,사업보고서 (2021.12),20220317000848,일진하이솔루스,20220317,,2022,2022,0
00972503,일진하이솔루스,271940,Y,[기재정정]사업보고서 (2022.12),20230315001068,일진하이솔루스,20230315,,2023,2023,1
00972503,일진하이솔루스,271940,Y,사업보고서 (2022.12),20230315000835,일진하이솔루스,20230315,정,2023,2023,0
00972503,일진하이솔루스,271940,Y,사업보고서 (2023.12),20240313001276,일진하이솔루스,20240313,,2024,2024,0
00486705,아주스틸,139990,Y,사업보고서 (2021.12),20220316000673,아주스틸,20220316,연,2022,2022,0
00486705,아주스틸,139990,Y,사업보고서 (2022.12),20230320001066,아주스틸,20230320,연,2023,2023,0
00486705,아주스틸,139990,Y,사업보고서 (2023.12),20240320001850,아주스틸,20240320,정연,2024,2024,0
00545716,롯데렌탈,089860,Y,[기재정정]사업보고서 (2017.12),20180404002530,롯데렌탈,20180404,연,2018,2018,1
00545716,롯데렌탈,089860,Y,사업보고서 (2017.12),20180329000115,롯데렌탈,20180329,정연,2018,2018,0
00545716,롯데렌탈,089860,Y,[기재정정]사업보고서 (2018.12),20190401003474,롯데렌탈,20190401,정연,2019,2019,1
00545716,롯데렌탈,089860,Y,사업보고서 (2018.12),20190401000709,롯데렌탈,20190401,정연,2019,2019,0
00545716,롯데렌탈,089860,Y,사업보고서 (2019.12),20200330002289,롯데렌탈,20200330,정연,2020,2020,0
00545716,롯데렌탈,089860,Y,[기재정정]사업보고서 (2020.12),20210707000505,롯데렌탈,20210707,연,2021,2021,1
00545716,롯데렌탈,089860,Y,[기재정정]사업보고서 (2019.12),20210707000485,롯데렌탈,20210707,연,2021,2021,1
00545716,롯데렌탈,089860,Y,[기재정정]사업보고서 (2018.12),20210707000453,롯데렌탈,20210707,연,2021,2021,1
00545716,롯데렌탈,089860,Y,사업보고서 (2020.12),20210331003267,롯데렌탈,20210331,정연,2021,2021,0
00545716,롯데렌탈,089860,Y,[기재정정]사업보고서 (2021.12),20220812000791,롯데렌탈,20220812,연,2022,2022,1
