corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year
01190568,에이피알,278470,Y,분기보고서 (2022.03),20220516002594,에이피알,20220516,,2022,2022
01190568,에이피알,278470,Y,사업보고서 (2021.12),20220331002148,에이피알,20220331,연,2022,2022
01190568,에이피알,278470,Y,분기보고서 (2023.09),20231114001221,에이피알,20231114,,2023,2023
01190568,에이피알,278470,Y,반기보고서 (2023.06),20230814002584,에이피알,20230814,,2023,2023
01190568,에이피알,278470,Y,분기보고서 (2023.03),20230515000887,에이피알,20230515,,2023,2023
01190568,에이피알,278470,Y,사업보고서 (2022.12),20230329001036,에이피알,20230329,연,2023,2023
01190568,에이피알,278470,Y,분기보고서 (2024.09),20241114002863,에이피알,20241114,,2024,2024
01190568,에이피알,278470,Y,반기보고서 (2024.06),20240814001778,에이피알,20240814,,2024,2024
01190568,에이피알,278470,Y,분기보고서 (2024.03),20240514001525,에이피알,20240514,,2024,2024
01190568,에이피알,278470,Y,사업보고서 (2023.12),20240321000964,에이피알,20240321,연,2024,2024
00398701,엘앤에프,066970,Y,분기보고서 (2018.09),20181114000168,엘앤에프,20181114,,2018,2018
00398701,엘앤에프,066970,Y,반기보고서 (2018.06),20180810000263,엘앤에프,20180810,,2018,2018
00398701,엘앤에프,066970,Y,분기보고서 (2018.03),20180511002409,엘앤에프,20180511,,2018,2018
00398701,엘앤에프,066970,Y,사업보고서 (2017.12),20180329001105,엘앤에프,20180329,연,2018,2018
00398701,엘앤에프,066970,Y,분기보고서 (2019.09),20191113000408,엘앤에프,20191113,,2019,2019
00398701,엘앤에프,066970,Y,반기보고서 (2019.06),20190809000404,엘앤에프,20190809,,2019,2019
00398701,엘앤에프,066970,Y,분기보고서 (2019.03),20190509000394,엘앤에프,20190509,,2019,2019
00398701,엘앤에프,066970,Y,사업보고서 (2018.12),20190329003209,엘앤에프,20190329,연,2019,2019
00398701,엘앤에프,066970,Y,분기보고서 (2020.09),20201113000882,엘앤에프,20201113,,2020,2020
00398701,엘앤에프,066970,Y,반기보고서 (2020.06),20200814002200,엘앤에프,20200814,,2020,2020
00398701,엘앤에프,066970,Y,분기보고서 (2020.03),20200511000115,엘앤에프,20200511,,2020,2020
00398701,엘앤에프,066970,Y,사업보고서 (2019.12),20200326000817,엘앤에프,20200326,연,2020,2020
