stock_code,corp_code,corp_name,year,market,sector,CorrectionDummy,CorrectionCount,MaterialCorrectionDummy,MaterialCorrectionCount,AuditorName,Big4Auditor,CleanOpinion,AuditFee,NonAuditFee,NonAuditFeeRatio,BoardSize,OutsideDirectorCount,OutsideDirectorRatio,LargestShareholderOwnership,MinorityShareholderRatio,MinorityShareholderCount,Assets,Liabilities,Equity,Revenue,OperatingIncome,NetIncome,LogAssets,Leverage,ROA,Loss,listing_date,FirstCorrectionDate,LastCorrectionDate,MaterialKeywordHits,AuditOpinion,AuditHours,NonAuditContractCount,OutsideDirectorAppointed,OutsideDirectorDismissed,OutsideDirectorResigned,Size,LogAuditFee,CorrectionCount_Log
480370,01210677,씨케이솔루션,2023,KOSPI,일반 목적용 기계 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-03-17,,,0,,,,,,,,,0.0
480370,01210677,씨케이솔루션,2024,KOSPI,일반 목적용 기계 제조업,0,0,0,0,인덕회계법인,0.0,0.0,,0.0,,7.0,3.0,0.42857142857142855,69.09,61.9,13.0,188423078176.0,97291883827.0,91131194349.0,295772527163.0,16524305283.0,,25.961955687213024,0.5163480225926611,,0.0,2025-03-17,,,0,적정의견,,3.0,3.0,,,25.961955687213024,,0.0
064400,00139834,LG씨엔에스,2018,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0,0,0,0,안진 회계법인,1.0,1.0,280.0,0.0,0.0,,,,87.3,99.91,4999.0,,,,,,,,,,,2025-02-05,,,0,적정,4326.0,21.0,,,,,5.634789603169249,0.0
064400,00139834,LG씨엔에스,2019,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0,0,0,0,안진회계법인,1.0,1.0,360.0,-15.0,-0.041666666666666664,,,,87.3,99.91,5086.0,,,,,,,,,,,2025-02-05,,,0,적정,4326.0,21.0,,,,,5.886104031450156,0.0
064400,00139834,LG씨엔에스,2020,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0,0,0,0,안진 회계법인,1.0,1.0,,-15.0,,5.0,0.0,0.0,52.33,99.9,5376.0,,,,,,,,,,,2025-02-05,,,0,적정,,19.0,,,,,,0.0
064400,00139834,LG씨엔에스,2021,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0,0,0,0,안진 회계법인,1.0,1.0,,-23.0,,5.0,0.0,0.0,52.33,99.91,5813.0,,,,,,,,,,,2025-02-05,,,0,적정,,21.0,,,,,,0.0
064400,00139834,LG씨엔에스,2022,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1,1,0,0,삼일 회계법인,1.0,1.0,,215118.0,,5.0,,,52.32,99.92,6107.0,,,,,,,,,,,2025-02-05,20220405,20220405,0,적정,,25.0,,,,,,0.6931471805599453
064400,00139834,LG씨엔에스,2023,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0,0,0,0,삼일 회계법인,1.0,1.0,,215118.0,,5.0,0.0,0.0,52.32,99.94,6259.0,4040679600000.0,2172423337000.0,1868256263000.0,5605300168000.0,464048383000.0,,29.027434011576357,0.5376381084508656,,0.0,2025-02-05,,,0,적정,,20.0,0.0,0.0,0.0,29.027434011576357,,0.0
064400,00139834,LG씨엔에스,2024,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0,0,0,0,삼일 회계법인,1.0,1.0,,215110.0,,7.0,4.0,0.5714285714285714,52.32,99.96,6858.0,4504507763000.0,2381697364000.0,2122810399000.0,5982627063000.0,512864077000.0,,29.136099736424143,0.5287364323274671,,0.0,2025-02-05,,,0,적정의견,,15.0,4.0,,,29.136099736424143,,0.0
484870,01519790,엠앤씨솔루션,2018,KOSPI,특수 목적용 기계 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-12-16,,,0,,,,,,,,,0.0
484870,01519790,엠앤씨솔루션,2019,KOSPI,특수 목적용 기계 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-12-16,,,0,,,,,,,,,0.0
484870,01519790,엠앤씨솔루션,2020,KOSPI,특수 목적용 기계 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-12-16,,,0,,,,,,,,,0.0
484870,01519790,엠앤씨솔루션,2021,KOSPI,특수 목적용 기계 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-12-16,,,0,,,,,,,,,0.0
484870,01519790,엠앤씨솔루션,2022,KOSPI,특수 목적용 기계 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-12-16,,,0,,,,,,,,,0.0
484870,01519790,엠앤씨솔루션,2023,KOSPI,특수 목적용 기계 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-12-16,,,0,,,,,,,,,0.0
484870,01519790,엠앤씨솔루션,2024,KOSPI,특수 목적용 기계 제조업,0,0,0,0,이촌회계법인,0.0,1.0,,0.0,,7.0,3.0,0.42857142857142855,73.78,99.98,18788.0,357113314488.0,191727483272.0,165385831216.0,282796626108.0,34824919168.0,,26.601318975892347,0.5368813636839144,,0.0,2024-12-16,,,0,적정의견,,6.0,3.0,,2.0,26.601318975892347,,0.0
475560,00968607,더본코리아,2018,KOSPI,상품 종합 도매업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-11-06,,,0,,,,,,,,,0.0
475560,00968607,더본코리아,2019,KOSPI,상품 종합 도매업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2024-11-06,,,0,,,,,,,,,0.0
