rcept_no,corp_cls,corp_code,corp_name,bsns_year,adtor,cn,mendng,tot_reqre_time,adt_cntrct_dtls_mendng,adt_cntrct_dtls_time,real_exc_dtls_mendng,real_exc_dtls_time,stlm_dt,query_year,endpoint_label
20220317001345,Y,00171265,파라다이스,제49기(전전기),삼일회계법인,"분기ㆍ반기재무제표 검토, 
개별ㆍ연결재무제표 감사",-,-,"290,000","3,499시간","320,000","3,499시간",2021-12-31,2021,audit_contract
20230316001131,Y,00171265,파라다이스,제52기(당기),삼덕회계법인,"분기ㆍ반기재무제표 검토, 개별ㆍ연결재무제표 감사",-,-,"500,000","5,000","500,000","4,740",2022-12-31,2022,audit_contract
20230316001131,Y,00171265,파라다이스,제51기(전기),삼일회계법인,"분기ㆍ반기재무제표 검토, 개별ㆍ연결재무제표 감사",-,-,"500,000","5,400","500,000","4,665",2022-12-31,2022,audit_contract
20230316001131,Y,00171265,파라다이스,제50기(전전기),삼일회계법인,"분기ㆍ반기재무제표 검토, 개별ㆍ연결재무제표 감사",-,-,"540,000","5,400","540,000","5,420",2022-12-31,2022,audit_contract
20240314000746,Y,00171265,파라다이스,제53기(당기),삼덕회계법인,"분기ㆍ반기재무제표 검토, 개별ㆍ연결재무제표 감사",-,-,"500,000","5,000","500,000","4,340",2023-12-31,2023,audit_contract
20240314000746,Y,00171265,파라다이스,제52기(전기),삼덕회계법인,"분기ㆍ반기재무제표 검토, 개별ㆍ연결재무제표 감사",-,-,"500,000","5,000","500,000","4,740",2023-12-31,2023,audit_contract
20240314000746,Y,00171265,파라다이스,제51기(전전기),삼일회계법인,"분기ㆍ반기재무제표 검토, 개별ㆍ연결재무제표 감사",-,-,"500,000","5,400","500,000","4,665",2023-12-31,2023,audit_contract
20250415000021,Y,00171265,파라다이스,제54기(당기),삼덕회계법인,"분기ㆍ반기재무제표 검토, 개별ㆍ연결재무제표 감사",-,-,"500,000","5,000","500,000","4,558",2024-12-31,2024,audit_contract
20250415000021,Y,00171265,파라다이스,제53기(전기),삼덕회계법인,"분기ㆍ반기재무제표 검토, 개별ㆍ연결재무제표 감사",-,-,"500,000","5,000","500,000","4,340",2024-12-31,2024,audit_contract
20250415000021,Y,00171265,파라다이스,제52기(전전기),삼덕회계법인,"분기ㆍ반기재무제표 검토, 개별ㆍ연결재무제표 감사",-,-,"500,000","5,000","500,000","4,740",2024-12-31,2024,audit_contract
20250509000499,Y,01194689,HD현대마린솔루션,제9기(당기),삼일회계법인,"연결.별도재무제표 분반기 검토
기말 연결.별도재무제표 감사
내부회계관리제도 감사",-,-,300,"2,500",300,"2,601",2024-12-31,2024,audit_contract
20250509000499,Y,01194689,HD현대마린솔루션,"제8기(전기)
3분기 및 연간",삼일회계법인,"3분기 연결.별도재무제표 감사
기말 연결.별도재무제표 감사",-,-,300,"2,600",300,"2,554",2024-12-31,2024,audit_contract
20250509000499,Y,01194689,HD현대마린솔루션,제7기(전전기),삼정회계법인,기말 연결.별도재무제표 감사,-,-,121,"1,214",121,"1,189",2024-12-31,2024,audit_contract
20250317000875,Y,01817081,SK이터닉스,제1기(당기),삼정회계법인,"기초잔액 검토1분기 별도, 연결재무제표 등에 대한 검토
반기 별도, 연결재무제표 등에 대한 검토3분기 별도, 연결재무제표 등에 대한 검토
제1기 별도, 연결재무제표 등에 대한 검토",-,-,230,"2,300",190,"2,251",2024-12-31,2024,audit_contract
20250317000875,Y,01817081,SK이터닉스,-,-,-,-,-,-,-,-,-,2024-12-31,2024,audit_contract
20250317000875,Y,01817081,SK이터닉스,-,-,-,-,-,-,-,-,-,2024-12-31,2024,audit_contract
20200924000286,Y,01190568,에이피알,제 5 기(당기),"삼일회계법인
한영회계법인","재무제표 감사
반기 재무제표 검토","90,000,000
30,000,000","613
-",-,-,-,-,2018-12-31,2018,audit_contract
20200924000286,Y,01190568,에이피알,제 4 기(전기),한영회계법인,재무제표 감사,"25,000,000",327,-,-,-,-,2018-12-31,2018,audit_contract
20200924000286,Y,01190568,에이피알,제 3 기(전전기),한영회계법인,재무제표 감사,"30,000,000",337,-,-,-,-,2018-12-31,2018,audit_contract
20200924000296,Y,01190568,에이피알,제6기(당기),삼일회계법인,재무제표 감사,110,"1,762",-,-,-,-,2019-12-31,2019,audit_contract
20200924000296,Y,01190568,에이피알,제5기(전기),"삼일회계법인
한영회계법인","재무제표 감사
반기 재무제표 검토","90
30","613
-",-,-,-,-,2019-12-31,2019,audit_contract
20200924000296,Y,01190568,에이피알,제4기(전전기),한영회계법인,재무제표 감사,25,327,-,-,-,-,2019-12-31,2019,audit_contract
20210331000895,Y,01190568,에이피알,제7기(당기),현대회계법인,"연결재무제표 감사
재무제표 감사",-,-,70,920,70,"1,227",2020-12-31,2020,audit_contract
20210331000895,Y,01190568,에이피알,제6기(전기),삼일회계법인,"연결재무제표 감사
재무제표 감사",-,-,110,-,110,"1,762",2020-12-31,2020,audit_contract
20210331000895,Y,01190568,에이피알,제5기(전전기),"삼일회계법인
한영회계법인","재무제표 감사
반기 재무제표 검토",-,-,9030,"-
-",9030,"613
-",2020-12-31,2020,audit_contract
20220331002148,Y,01190568,에이피알,제8기(당기),현대회계법인,"연결재무제표 감사
재무제표 감사",-,-,100,"1,238",100,"1,512",2021-12-31,2021,audit_contract
20220331002148,Y,01190568,에이피알,제7기(전기),현대회계법인,"연결재무제표 감사
재무제표 감사",-,-,70,920,70,"1,227",2021-12-31,2021,audit_contract
20220331002148,Y,01190568,에이피알,제6기(전전기),삼일회계법인,"연결재무제표 감사
재무제표 감사",-,-,110,-,110,"1,762",2021-12-31,2021,audit_contract
20230329001036,Y,01190568,에이피알,제9기(당기),현대회계법인,"연결재무제표 감사
재무제표 감사",-,-,112,"1,239",112,"1,293",2022-12-31,2022,audit_contract
20230329001036,Y,01190568,에이피알,제8기(전기),현대회계법인,"연결재무제표 감사
재무제표 감사",-,-,100,"1,238",100,"1,512",2022-12-31,2022,audit_contract
20230329001036,Y,01190568,에이피알,제7기(전전기),현대회계법인,"연결재무제표 감사
재무제표 감사",-,-,70,920,70,"1,227",2022-12-31,2022,audit_contract
20240321000964,Y,01190568,에이피알,제10기(당기),안진회계법인,"반기/3분기 별도ㆍ연결 재무제표 검토
별도ㆍ연결재무제표 감사 및 내부회계관리제도 검토",-,-,586,"4,560",586,"4,800",2023-12-31,2023,audit_contract
